Date,Spot_Price,Theoretical_Feb_2026,Theoretical_Mar_2026,Theoretical_Feb_2027
2025-05-29,950.896728515625,1000.136495833486,1005.3287160821371,1065.6319392429584
2025-05-30,959.4807739257812,1008.9784350343999,1014.2165583132347,1075.0529061375678
2025-06-02,953.1660766601562,1001.7820379970814,1006.9828010970107,1067.3852422113064
2025-06-03,949.466064453125,997.7087828822933,1002.8883996309264,1063.0452438559964
2025-06-04,957.6553955078125,1006.1281348490583,1011.351460761335,1072.0159497555303
2025-06-05,961.7993774414062,1010.295016148552,1015.5399744735514,1076.4557055471378
2025-06-06,976.1552734375,1025.1851554383452,1030.5074160946242,1092.3209480146238
2025-06-09,976.2539672851562,1024.7201395850054,1030.0399861060744,1091.8254798983842
2025-06-10,969.5447387695312,1017.4896478229407,1022.7719571619436,1084.1214885030215
2025-06-11,962.194091796875,1009.5887823297393,1014.8300742336555,1075.7032229439774
2025-06-12,958.74072265625,1005.7792934780492,1011.0008083762917,1071.6442639824133
2025-06-13,946.0127563476562,992.2433425965444,997.3945854483767,1057.2218909888804
2025-06-16,954.7940673828125,1000.8983395094084,1006.0945148783622,1066.443673398401
2025-06-17,951.9327392578125,997.7143201662392,1002.8939656617463,1063.0511437573139
2025-06-18,954.0540771484375,999.7527772990502,1004.9430054684674,1065.223092322885
2025-06-19,954.7447509765625,1000.2915315226253,1005.4845566408593,1065.7971276774942
2025-06-20,969.2486572265625,1015.2995787403418,1020.5705183102343,1081.7879994509885
2025-06-23,961.2073364257812,1006.3177444073706,1011.5420546798744,1072.2179761810885
2025-06-24,967.3740234375,1012.5865636453141,1017.8434185657912,1078.8973184799875
2025-06-25,976.8953247070312,1022.3637809591817,1027.6713944170424,1089.31481158216
2025-06-26,997.41796875,1043.6486062339554,1049.0667201097503,1111.993505668913
2025-06-27,1004.9491577148438,1051.334425344779,1056.7924402398658,1120.182642209633
2025-06-30,998.2658081054688,1043.7633586469017,1049.1820682611828,1112.1157728162977
2025-07-01,1003.5526123046875,1049.0970883028624,1054.5434880366781,1117.7987897848388
2025-07-02,990.5350341796875,1035.297253429944,1040.6720111605396,1103.095251959629
2025-07-03,991.0836181640625,1035.679080487932,1041.0558204781394,1103.5020835370728
2025-07-04,992.1809692382812,1036.6340846754158,1042.015782580968,1104.5196276108397
2025-07-07,991.2332763671875,1035.069521684387,1040.4430971429772,1102.852606858029
2025-07-08,998.2159423828125,1042.1682411685322,1047.578669711875,1110.4161966695651
2025-07-09,1003.1036987304688,1047.0775540585066,1052.5134693568077,1115.6470033015478
2025-07-10,1000.6099243164062,1044.281319694209,1049.7027183092907,1112.6676533222026
2025-07-11,989.3878784179688,1032.3785531473052,1037.7381584114419,1099.9854161969959
2025-07-14,989.0387573242188,1031.4418650552698,1036.796607492284,1098.9873876757492
2025-07-15,995.2732543945312,1037.7517232915134,1043.139223430938,1105.7104564735066
2025-07-16,995.6722412109375,1037.9757667750582,1043.3644300388332,1105.9491717817064
2025-07-17,990.98388671875,1032.897183390532,1038.2594811296076,1100.538009722122
2025-07-18,976.2705078125,1017.3733457858139,1022.6550513414387,1083.997570251985
2025-07-21,997.7670288085938,1039.198209609042,1044.5932191990053,1107.2516681241743
2025-07-22,1001.058837890625,1042.4339107499245,1047.8457185199886,1110.6992640232677
2025-07-23,1009.6375122070312,1051.172739976592,1056.6299154802098,1120.0103686318103
