Date,HDFCBANK.NS,SPARC.NS
2025-07-08,998.2159423828125,156.47000122070312
2025-07-09,1003.1036987304688,158.0500030517578
2025-07-10,1000.6099243164062,156.02000427246094
2025-07-11,989.3878784179688,159.33999633789062
2025-07-14,989.0387573242188,161.2100067138672
2025-07-15,995.2732543945312,162.25
2025-07-16,995.6722412109375,163.0399932861328
2025-07-17,990.98388671875,161.4199981689453
2025-07-18,976.2705078125,161.02999877929688
2025-07-21,997.7670288085938,160.8699951171875
2025-07-22,1001.058837890625,157.4600067138672
2025-07-23,1009.6375122070312,155.9199981689453
2025-07-24,1004.5999755859375,154.4499969482422
2025-07-25,1002.2999877929688,151.66000366210938
2025-07-28,1004.25,149.97000122070312
2025-07-29,1010.7999877929688,153.52999877929688
2025-07-30,1012.9000244140625,151.92999267578125
2025-07-31,1009.0999755859375,150.5399932861328
2025-08-01,1006.0999755859375,149.83999633789062
2025-08-04,996.0,148.61000061035156
2025-08-05,988.7999877929688,145.72999572753906
2025-08-06,992.6500244140625,140.5
2025-08-07,997.7000122070312,145.9600067138672
2025-08-08,986.9500122070312,142.61000061035156
2025-08-11,997.7999877929688,142.41000366210938
2025-08-12,984.9500122070312,141.89999389648438
2025-08-13,990.1500244140625,142.27999877929688
2025-08-14,995.5499877929688,140.24000549316406
2025-08-18,1001.7999877929688,143.61000061035156
2025-08-19,995.5499877929688,147.0500030517578
2025-08-20,994.0999755859375,146.86000061035156
2025-08-21,995.5999755859375,145.0500030517578
2025-08-22,982.2999877929688,146.0800018310547
2025-08-25,982.0499877929688,144.72000122070312
2025-08-26,973.4000244140625,142.58999633789062
2025-08-28,957.7999877929688,140.27000427246094
2025-08-29,951.5999755859375,140.08999633789062
2025-09-01,950.5999755859375,141.85000610351562
2025-09-02,944.5,143.52000427246094
2025-09-03,954.4500122070312,146.82000732421875
2025-09-04,961.25,144.32000732421875
2025-09-05,963.4000244140625,144.9600067138672
2025-09-08,966.0,141.08999633789062
2025-09-09,965.1500244140625,141.5800018310547
2025-09-10,965.9000244140625,143.94000244140625
2025-09-11,967.7999877929688,144.5399932861328
2025-09-12,967.2999877929688,143.10000610351562
2025-09-15,967.0499877929688,143.6699981689453
2025-09-16,966.8499755859375,143.82000732421875
2025-09-17,966.5,144.3000030517578
2025-09-18,976.9000244140625,143.8699951171875
2025-09-19,966.9000244140625,143.27999877929688
2025-09-22,964.2000122070312,141.00999450683594
2025-09-23,957.2000122070312,139.38999938964844
2025-09-24,951.0499877929688,137.2100067138672
2025-09-25,949.8499755859375,135.72999572753906
2025-09-26,945.0499877929688,131.75999450683594
2025-09-29,950.2999877929688,128.77999877929688
2025-09-30,951.0,129.52000427246094
2025-10-01,965.25,132.14999389648438
2025-10-03,965.1500244140625,132.11000061035156
2025-10-06,973.4500122070312,131.91000366210938
2025-10-07,982.5,130.44000244140625
2025-10-08,978.7000122070312,128.0500030517578
2025-10-09,977.0999755859375,128.02999877929688
2025-10-10,980.9000244140625,134.00999450683594
2025-10-13,977.0,134.2100067138672
2025-10-14,977.1500244140625,130.4600067138672
